usr,q4_sent,q4_received,q4_access,q4_comments_on_sent,q4_comments_on_received,q4_likes_on_sent,q4_likes_on_received,working_days
AWSUS#W9g0QTQe3A7wsZccDYmaQQ==,0,0,0,0,0,0,0,438
AWSUS#PnYwFZ+UiAqvNMkeaLcPmw==,0,0,18,0,0,0,0,4074
AWSUS#5Hq4rf1RmJT6gy1X/WlxIQ==,0,0,0,0,0,0,0,159
AWSUS#aLpLasFHXC6vwupx+xWNXQ==,0,0,5,0,0,0,0,502
AWSUS#Azfr7ngVeC20AVnC1PHm1w==,0,0,2,0,0,0,0,2726
AWSUS#qYCsHLFtUI+tbZJipsFMhA==,0,0,10,0,0,0,0,136
AWSUS#YbuzEt+CFGZ7l5GGlHCKYA==,0,0,0,0,0,0,0,882
AWSUS#rrSkE6R5DyASePKMU79ogA==,8,0,654,20,0,24,0,267
AWSUS#HNIanjg6d+B6hCvrbncv2w==,0,0,5,0,0,0,0,195
AWSUS#+55rWjvWzH4QVOotCWH6qQ==,7,0,63,7,0,42,0,132
AWSUS#MxKM1HoMqJmggqaUc0V2ew==,0,0,65,0,0,0,0,113
AWSUS#CPMRcnmnd4XNOexBvnc0Kw==,0,0,0,0,0,0,0,4074
AWSUS#IIE2yIMn2JuQK/JFVsDxbA==,0,0,0,0,0,0,0,3207
AWSUS#DB7OTuQTFMyeeI3GRkObdQ==,0,0,43,0,0,0,0,469
AWSUS#60b+nkK8/MMFIybbwBMmwA==,4,0,396,4,0,16,0,1000
AWSUS#b2zRy5CIIArFk8e09BkYlw==,0,0,2,0,0,0,0,2629
AWSUS#55EycBsT/RPObRPvQB5eCQ==,0,0,24,0,0,0,0,195
AWSUS#O85c8huxDCerCcbKA32cEg==,0,0,31,0,0,0,0,2902
AWSUS#qN0bBXSu4JWtmh/z2VGGHg==,0,1,15,0,0,0,1,4074
AWSUS#OnzNMTU3bF6AJLz6tCh6ew==,0,0,0,0,0,0,0,2479
AWSUS#ciNq4DXRylRqnX53ALLV0Q==,0,0,19,0,0,0,0,53
AWSUS#tOl0A0FEBNAXJ2P9j87XgA==,0,0,16,0,0,0,0,113
AWSUS#ZhLk5L64XcObSkmRqv5+yw==,0,1,140,0,2,0,6,4074
AWSUS#mt8NlQmtXZmI0KsTFPL6Rw==,6,0,22,6,0,6,0,1072
AWSUS#CTgAhCS3GD6/qEUmnuP4Fw==,0,0,128,0,0,0,0,286
AWSUS#J9SqQQhMakbAI/ZXBxebVw==,0,0,0,0,0,0,0,4074
AWSUS#j7L5BGmoCJUOYIIOS3tbnQ==,0,0,105,0,0,0,0,124
AWSUS#Ah8zsy/hAa2ap47AD8lRrg==,0,0,56,0,0,0,0,274
AWSUS#NhPN45NqPrHEpKIiAduWQg==,0,0,97,0,0,0,0,4074
